Loại nông sản,Phân hạng,Khu vực,Ngày thu thập,Giá thấp nhất,Giá cao nhất
Ri6,A,Toàn thị trường,2026-04-21,80000,86000
Ri6,B,Toàn thị trường,2026-04-21,65000,70000
Thái,VIP A,Toàn thị trường,2026-04-21,120000,130000
Thái,VIP B,Toàn thị trường,2026-04-21,100000,110000
Thái,A,Toàn thị trường,2026-04-21,110000,120000
Thái,B,Toàn thị trường,2026-04-21,95000,100000
Musang King,A,Toàn thị trường,2026-04-21,170000,180000
Chuồng Bò,A,Toàn thị trường,2026-04-21,70000,75000
Ri6,C,Toàn thị trường,2026-04-21,45000,55000
Musang King,B,Toàn thị trường,2026-04-21,105000,120000
